int_id,date,Number_of_Hard_Brakes,Total_CO2,Number_of_Stops,Number_of_Vehicles,Average_Number_of_Hard_Brakes,Average_CO2,Average_Number_of_Stops,Total_length,Latitude,Longitude
100,2021-01-11,7,715848.8014,25,2497,0.003061951,313.1277489,0.010935541,0.91554818,29.37727553,-98.63993379
101,2021-01-11,4,410113.9045,7,1972,0.002385374,244.5687712,0.004174405,0.850347779,29.39933588,-98.6418074
102,2021-01-11,3,319601.8393,3,2195,0.001483304,158.0222658,0.001483304,0.92141751,29.40489136,-98.64959326
103,2021-01-11,4,204767.587,4,2440,0.00180491,92.39678318,0.00180491,0.90826909,29.41091912,-98.64954884
104,2021-01-11,1,122204.6752,0,1186,0.000949549,116.0392684,0.0,0.887969707,29.46944161,-98.40407736
105,2021-01-11,81,1074079.442,284,3609,0.023368694,309.8744935,0.081934681,0.960425522,29.44721121,-98.47972204
109,2021-01-11,3,68086.40731,25,1117,0.002775011,62.98017003,0.023125089,0.967839665,29.40113295,-98.38912598
110,2021-01-11,60,561268.943,126,3248,0.023465941,219.5117352,0.049278477,0.787222047,29.5158938,-98.40610234
111,2021-01-11,1,239317.3393,2,1760,0.001044856,250.052142,0.002089712,0.543789627,29.40460619,-98.61653388
112,2021-01-11,3,287807.6188,4,1643,0.002387476,229.044592,0.003183301,0.764794368,29.40377304,-98.62171999
114,2021-01-11,1,446311.2697,4,2059,0.00055348,247.0242892,0.002213919,0.877489338,29.40773154,-98.59537937
115,2021-01-11,4,56662.03611,4,862,0.009094928,128.8342778,0.009094928,0.510215307,29.32180602,-98.48161053
116,2021-01-11,32,803913.5554,44,4951,0.009536411,239.5765613,0.013112565,0.677754014,29.5636954,-98.48274422
117,2021-01-11,29,217310.8474,29,3382,0.010893811,81.63252817,0.010893811,0.787126538,29.60866329,-98.50274231
118,2021-01-11,24,1348290.447,61,5683,0.00443725,249.2792278,0.01127801,0.951743043,29.510125,-98.53898627
119,2021-01-11,6,1104747.543,61,4561,0.001378156,253.752395,0.014011252,0.954537121,29.47169559,-98.61374681
120,2021-01-11,34,1121528.242,126,5310,0.00650597,214.6067542,0.024110361,0.984174951,29.49157969,-98.55870112
121,2021-01-11,82,1127246.402,512,5263,0.017037571,234.2139139,0.106380933,0.91447702,29.49024901,-98.56048014
122,2021-01-11,16,1693987.108,96,6477,0.002576592,272.7945949,0.015459552,0.958739107,29.51824744,-98.52355302
123,2021-01-11,9,470616.4259,9,3771,0.002734068,142.9663658,0.002734068,0.872924477,29.51594933,-98.43235017
